,BSSE_QGF_204446,BSSE_QGF_204447,BSSE_QGF_204448,BSSE_QGF_204449,BSSE_QGF_204450,BSSE_QGF_204451,BSSE_QGF_204452,BSSE_QGF_204453,BSSE_QGF_204458,BSSE_QGF_204459,BSSE_QGF_204460,BSSE_QGF_204461,BSSE_QGF_204462,BSSE_QGF_204463,BSSE_QGF_204464,BSSE_QGF_204465
ENSG00000228572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000281849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRG_710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223773,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000002586,1,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0
LRG_1023,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0
ENSG00000124343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LRG_805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ENSG00000056998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000229851,0,1,0,0,1,4,0,1,0,2,1,0,1,0,3,1
ENSG00000205667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000062096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000228459,0,3,2,3,2,2,0,2,5,0,0,2,6,0,2,3
ENSG00000213487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000207435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182888,19,20,39,11,22,13,25,15,32,17,18,10,19,21,23,24
ENSG00000286431,27,32,7,40,20,60,16,37,23,32,5,45,57,54,73,83
ENSG00000225722,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2
ENSG00000226313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237490,1,2,1,0,1,2,2,1,3,3,3,1,1,0,1,0
ENSG00000101846,182,114,142,123,187,101,69,116,183,117,72,108,298,240,221,180
ENSG00000264268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
